,name_0,date_0,location_0,name_1,date_1,location_1,name_2,date_2,location_2
0,T&T Trucking shooting,2018,"[35.349388, -118.916335]",,,,,,
1,Rite Aid warehouse shooting,2018,"[39.455658, -76.208485]",Edgewood businees park shooting,2017.0,"[39.452189, -76.309988]",,,
2,Gilroy garlic festival shooting,2019,"[36.997191, -121.584819]",,,,,,
3,Atlantis Plastics shooting,2008,"[37.76721, -87.5573742]",,,,,,
4,Tucson shooting,2011,"[32.335941, -110.975132]",,,,,,
5,Pinewood Village Apartment shooting,2013,"[47.3129607, -122.3393665]",Capitol Hill massacre,2006.0,"[47.6229, -122.3165]",Seattle cafe shooting,2012.0,"[47.6038321, -122.3300624]"
6,Binghamton shootings,2009,"[42.099802, -75.917723]",,,,,,
7,SunTrust bank shooting,2019,"[27.471043, -81.45847]",,,,,,
8,Kirkwood City Council shooting,2008,"[38.580093, -90.40691]",,,,,,
9,Su Jung Health Sauna shooting,2012,"[33.9412127, -84.2135309]",,,,,,
10,Dayton entertainment district shooting,2019,"[39.757312, -84.184947]",,,,,,
11,Alturas tribal shooting,2014,"[41.487104, -120.542237]",,,,,,
12,Northern Illinois University shooting,2008,"[41.9294736, -88.7503647]",Navistar shooting,2001.0,"[41.908163, -87.879908]",Harry Pratt Co. warehouse shooting,2019.0,"[41.753725, -88.331057]"
13,Santa Monica rampage,2013,"[34.008617, -118.494754]",Thousand Oaks nightclub shooting,2018.0,"[34.176946, -118.874793]",,,
14,Jersey City kosher market shooting,2019,"[40.707363, -74.083609]",,,,,,
15,Charleston Church Shooting,2015,"[32.788387, -79.933143]",,,,,,
16,Texas First Baptist Church massacre,2017,"[29.273282, -98.056488]",,,,,,
17,Las Vegas Strip massacre,2017,"[36.095739, -115.171544]",,,,,,
18,El Paso Walmart mass shooting,2019,"[31.771068, -106.375655]",,,,,,
19,Lockheed Martin shooting,2003,"[32.410842, -88.634539]",,,,,,
20,Crandon shooting,2007,"[45.5719072, -88.9028922]",,,,,,
21,Orlando nightclub massacre,2016,"[28.519718, -81.376777]",Florida awning manufacturer shooting,2017.0,"[28.580295, -81.294086]",,,
22,Fort Lauderdale airport shooting,2017,"[26.072751, -80.143382]",Hialeah apartment shooting,2013.0,"[25.864338, -80.311775]",Marjory Stoneman Douglas High School shooting,2018.0,"[26.30483, -80.269511]"
23,San Bernardino mass shooting,2015,"[34.075961, -117.27789]",,,,,,
24,Yountville veterans home shooting,2018,"[38.392496, -122.366528]",,,,,,
25,Mohawk Valley shootings,2013,"[43.045601, -74.984891]",,,,,,
26,Washington Navy Yard shooting,2013,"[38.874981, -76.99453]",Capital Gazette shooting,2018.0,"[38.994548, -76.543657]",,,
27,IHOP shooting,2011,"[39.1637984, -119.7674034]",,,,,,
28,Rural Ohio nursing home shooting,2017,"[39.959034, -82.596508]",Damageplan show shooting,2004.0,"[39.9622601, -83.0007065]",,,
29,Planned Parenthood clinic,2015,"[38.881031, -104.849057]",Colorado Springs shooting rampage,2015.0,"[38.83755, -104.814251]",,,
30,Pennsylvania carwash shooting,2018,"[40.052151, -79.389166]",,,,,,
31,Fort Hood massacre,2009,"[31.135557, -97.783664]",Fort Hood shooting 2,2014.0,"[31.141716, -97.777559]",,,
32,Sikh temple shooting,2012,"[42.8858503, -87.8631362]",Living Church of God shooting,2005.0,"[43.0605671, -88.1064787]",,,
33,San Francisco UPS shooting,2017,"[37.765947, -122.406087]",Oikos University killings,2012.0,"[37.8043808, -122.2708166]",,,
34,Kalamazoo shooting spree,2016,"[42.236689, -85.674795]",,,,,,
35,Aurora theater shooting,2012,"[39.706038, -104.820594]",Walmart shooting in suburban Denver,2017.0,"[39.876374, -104.986132]",,,
36,Wakefield massacre,2000,"[42.500429, -71.075913]",,,,,,
37,Tree of Life synagogue shooting,2018,"[40.443898, -79.921398]",,,,,,
38,Fresno downtown shooting,2017,"[36.746378, -119.800319]",,,,,,
39,Santa Fe High School shooting,2018,"[29.392825, -95.141972]",,,,,,
40,Pensacola Naval base shooting,2019,"[30.364707, -87.288567]",,,,,,
41,Dallas police shooting,2016,"[32.7801052, -96.8000082]",,,,,,
42,Fifth Third Center shooting,2018,"[39.101981, -84.511782]",,,,,,
43,Excel Industries mass shooting,2016,"[38.135992, -97.425145]",,,,,,
44,Trolley Square shooting,2007,"[40.7606467, -111.89109]",,,,,,
45,Goleta postal shootings,2006,"[34.425571, -119.866069]",Isla Vista mass murder,2014.0,"[34.436283, -119.8714406]",,,
46,Cascade Mall shooting,2016,"[48.461367, -122.337918]",Marysville-Pilchuck High School shooting,2014.0,"[48.050824, -122.176918]",,,
47,Coffee shop police killings,2009,"[47.15277, -122.467308]",,,,,,
48,Trestle Trail bridge shooting,2015,"[44.204124, -88.467541]",,,,,,
49,Red Lake massacre,2005,"[47.876346, -95.0169401]",,,,,,
50,Waffle House shooting,2018,"[36.052521, -86.616944]",,,,,,
51,Rancho Tehama shooting spree,2017,"[40.018759, -122.393089]",,,,,,
52,Chattanooga military recruitment center,2015,"[35.047157, -85.311819]",,,,,,
53,Amish school shooting,2006,"[39.9589, -76.0806]",,,,,,
54,Seal Beach shooting,2011,"[33.741176, -118.1046356]",,,,,,
55,Odessa-Midland shooting spree,2019,"[31.925974, -102.2796]",,,,,,
56,Hartford Beer Distributor shooting,2010,"[41.798764, -72.570068]",,,,,,
57,Mercy Hospital shooting,2018,"[41.847667, -87.622009]",,,,,,
58,Virginia Beach municipal building shooting,2019,"[36.75442, -76.060378]",,,,,,
59,Umpqua Community College shooting,2015,"[43.289538, -123.333193]",,,,,,
60,Virginia Tech massacre,2007,"[37.2295733, -80.4139393]",,,,,,
61,Carthage nursing home shooting,2009,"[35.333434, -79.414592]",,,,,,
62,Westroads Mall shooting,2007,"[41.265719, -96.067495]",,,,,,
63,Baton Rouge police shooting,2016,"[30.433601, -91.081403]",,,,,,
64,Pennsylvania hotel bar shooting,2019,"[40.785142, -77.839411]",,,,,,
65,Sandy Hook Elementary massacre,2012,"[41.4123225, -73.31142358]",,,,,,
66,Accent Signage Systems shooting,2012,"[44.977425, -93.310408]",,,,,,
67,Pennsylvania supermarket shooting,2017,"[41.529546, -75.94722]",,,,,,
